order_item_id,order_id,product_id,quantity,unit_price
1,1,1,1,1299.99
2,1,2,1,29.99
3,2,3,1,89.99
4,2,4,2,49.99
5,3,5,1,119.99
6,3,6,1,39.99
7,4,7,2,24.99
8,4,9,3,19.99
9,5,1,1,1299.99
10,5,10,1,44.99
11,6,8,1,79.99
12,7,2,2,29.99
13,7,3,1,89.99
14,8,5,2,119.99
15,8,6,1,39.99
16,9,1,1,1299.99
17,9,4,1,49.99
18,10,7,3,24.99
19,10,9,2,19.99
20,11,2,1,29.99
21,11,3,1,89.99
22,11,10,1,44.99
23,12,1,1,1299.99
24,12,8,1,79.99
25,13,5,1,119.99
26,13,6,2,39.99
27,14,4,3,49.99
28,14,7,1,24.99
29,15,1,1,1299.99
30,15,2,2,29.99
31,16,9,5,19.99
32,16,10,2,44.99
33,17,3,1,89.99
34,17,8,1,79.99
35,18,5,1,119.99
36,19,1,1,1299.99
37,19,4,2,49.99
38,20,6,3,39.99
39,20,7,2,24.99
40,20,9,1,19.99
